"Date","Discharge.m3s","Site","Sample"
2002-09-21,8.22167784471979e-07,"CCBP","CCBP_UP_3"
2002-09-22,8.27691909647228e-07,"CCBP","CCBP_UP_3"
2002-09-23,7.40872311465083e-06,"CCBP","CCBP_UP_3"
2002-09-24,3.04308855291577e-06,"CCBP","CCBP_UP_3"
2002-09-25,1.65714486591073e-06,"CCBP","CCBP_UP_3"
2002-09-26,1.52858846292297e-06,"CCBP","CCBP_UP_3"
2002-09-27,4.6280305075594e-06,"CCBP","CCBP_UP_3"
2002-09-28,8.04093884989201e-06,"CCBP","CCBP_UP_3"
2002-09-29,4.6879060925126e-06,"CCBP","CCBP_UP_3"
2002-09-30,3.83732057685386e-06,"CCBP","CCBP_UP_3"
2002-10-01,4.02399151817854e-06,"CCBP","CCBP_UP_3"
2002-10-02,3.38297054985602e-06,"CCBP","CCBP_UP_3"
2002-10-03,4.23355606551476e-06,"CCBP","CCBP_UP_3"
2002-10-04,4.95030203833693e-06,"CCBP","CCBP_UP_3"
2002-10-05,5.24791891648669e-06,"CCBP","CCBP_UP_3"
2002-10-06,4.43783747300216e-06,"CCBP","CCBP_UP_3"
2002-10-07,3.73870196634269e-06,"CCBP","CCBP_UP_3"
2002-10-08,4.12613222192225e-06,"CCBP","CCBP_UP_3"
2002-10-09,3.36007694384449e-06,"CCBP","CCBP_UP_3"
2002-10-10,3.64360544906407e-06,"CCBP","CCBP_UP_3"
2002-10-11,4.5857653887689e-06,"CCBP","CCBP_UP_3"
2002-10-12,6.91915215532757e-06,"CCBP","CCBP_UP_3"
2002-10-13,7.32419287706984e-06,"CCBP","CCBP_UP_3"
2002-10-14,9.2736714812815e-06,"CCBP","CCBP_UP_3"
2002-10-15,7.69577371310294e-06,"CCBP","CCBP_UP_3"
2002-10-16,5.92046261924047e-05,"CCBP","CCBP_UP_3"
2002-10-17,4.79955644798415e-05,"CCBP","CCBP_UP_3"
2002-10-18,2.03295221382289e-05,"CCBP","CCBP_UP_3"
2002-10-19,1.52791467117413e-05,"CCBP","CCBP_UP_3"
2002-10-20,1.34165336460583e-05,"CCBP","CCBP_UP_3"
2002-10-24,1.84139578833694e-05,"CCBP","CCBP_UP_3"
2002-10-25,1.64481753959683e-05,"CCBP","CCBP_UP_3"
2002-10-26,0.000109429675688445,"CCBP","CCBP_UP_3"
2002-10-27,0.000113008122412707,"CCBP","CCBP_UP_3"
2002-10-28,5.40746973992081e-05,"CCBP","CCBP_UP_3"
2002-10-29,6.66855522183226e-05,"CCBP","CCBP_UP_3"
2002-10-30,6.10396367665586e-05,"CCBP","CCBP_UP_3"
2002-10-31,5.11918640883729e-05,"CCBP","CCBP_UP_3"
2002-11-01,4.38588659782217e-05,"CCBP","CCBP_UP_3"
2002-11-02,4.1134526862851e-05,"CCBP","CCBP_UP_3"
2002-11-03,3.95953721202303e-05,"CCBP","CCBP_UP_3"
2002-11-04,3.70894027852772e-05,"CCBP","CCBP_UP_3"
2002-11-05,4.19393251664867e-05,"CCBP","CCBP_UP_3"
2002-11-06,0.000204299017953564,"CCBP","CCBP_UP_3"
2002-11-07,0.00025175922426206,"CCBP","CCBP_UP_3"
2002-11-08,0.000217984111208604,"CCBP","CCBP_UP_3"
2002-11-09,0.000189684092085133,"CCBP","CCBP_UP_3"
2002-11-10,0.000172721691077214,"CCBP","CCBP_UP_3"
